"CAS","LogBCF","BalabanJ","BertzCT","Chi0","Chi0n","Chi0v","Chi1","Chi1n","Chi1v","Chi2n","Chi2v","Chi3n","Chi3v","Chi4n","Chi4v","EState_VSA1","EState_VSA10","EState_VSA11","EState_VSA2","EState_VSA3","EState_VSA4","EState_VSA5","EState_VSA6","EState_VSA7","EState_VSA8","EState_VSA9","ExactMolWt","FpDensityMorgan1","FpDensityMorgan2","FpDensityMorgan3","FractionCSP3","HallKierAlpha","HeavyAtomCount","HeavyAtomMolWt","Ipc","Kappa1","Kappa2","Kappa3","LabuteASA","MaxAbsEStateIndex","MaxAbsPartialCharge","MaxEStateIndex","MaxPartialCharge","MinAbsEStateIndex","MinAbsPartialCharge","MinEStateIndex","MinPartialCharge","MolLogP","MolMR","MolWt","NHOHCount","NOCount","NumAliphaticCarbocycles","NumAliphaticHeterocycles","NumAliphaticRings","NumAromaticCarbocycles","NumAromaticHeterocycles","NumAromaticRings","NumHAcceptors","NumHDonors","NumHeteroatoms","NumRadicalElectrons","NumRotatableBonds","NumSaturatedCarbocycles","NumSaturatedHeterocycles","NumSaturatedRings","NumValenceElectrons","PEOE_VSA1","PEOE_VSA10","PEOE_VSA11","PEOE_VSA12","PEOE_VSA13","PEOE_VSA14","PEOE_VSA2","PEOE_VSA3","PEOE_VSA4","PEOE_VSA5","PEOE_VSA6","PEOE_VSA7","PEOE_VSA8","PEOE_VSA9","RingCount","SMR_VSA1","SMR_VSA10","SMR_VSA2","SMR_VSA3","SMR_VSA4","SMR_VSA5","SMR_VSA6","SMR_VSA7","SMR_VSA8","SMR_VSA9","SlogP_VSA1","SlogP_VSA10","SlogP_VSA11","SlogP_VSA12","SlogP_VSA2","SlogP_VSA3","SlogP_VSA4","SlogP_VSA5","SlogP_VSA6","SlogP_VSA7","SlogP_VSA8","SlogP_VSA9","TPSA","VSA_EState1","VSA_EState10","VSA_EState2","VSA_EState3","VSA_EState4","VSA_EState5","VSA_EState6","VSA_EState7","VSA_EState8","VSA_EState9","qed"
"59_50_7",0.93,3.17167803044092,220.156177599934,6.85337115112852,5.05722887607806,5.81315782209652,4.19837730275766,2.65062290596718,3.0285873789764,1.9334867896045,2.3406869163451,1.14152728777475,1.5656066270671,0.62887089294119,0.746419444335059,0,0,0,5.74951183328391,5.02263331374133,5.563451491697,0,18.1991012053848,6.92373719969062,0,16.7074672850732,142.018542524,1.44444444444444,2.11111111111111,2.55555555555556,0.142857142857143,-0.69,9,135.529,104.200919306593,6.43033694344164,2.27536401594483,1.36016098474225,58.8938452129713,8.87885802469136,0.507954757971223,8.87885802469136,0.115444833893413,0.261018518518519,0.115444833893413,0.261018518518519,-0.507954757971223,2.35402,37.8538,142.585,1,1,0,0,0,1,0,1,1,1,2,0,0,0,0,0,48,5.10652739484071,5.74951183328391,0,0,0,0,0,0,0,0,11.6009398902325,30.6862898967724,5.02263331374133,0,1,5.10652739484071,11.6009398902325,0,0,0,6.92373719969062,0,28.7851860108232,0,5.74951183328391,0,0,5.74951183328391,11.6009398902325,5.10652739484071,0,6.92373719969062,5.563451491697,18.1991012053848,5.02263331374133,0,0,20.23,0,5.66953703703704,0,0,0,0,0,0,0,17.4415740740741,0.589767458709133
"60_29_7",0.73,2.19060968716425,11.1194154787637,4.12132034355964,3.82246185283696,3.82246185283696,2.41421356237309,1.99156383156272,1.99156383156272,0.781474414421557,0.781474414421557,0.408248290463863,0.408248290463863,0.204124145231932,0.204124145231932,0,0,0,0,0,13.2137639290258,0,0,13.8474743993812,0,4.73686295380005,74.07316494,1.2,1.6,1.6,1,-0.04,5,64.043,11.2451124978365,4.96,3.96,3.96,32.9476226005263,4.83333333333333,0.382025835782642,4.83333333333333,0.0437084125246928,0.84375,0.0437084125246928,0.84375,-0.382025835782642,1.0428,22.167,74.123,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,32,4.73686295380005,0,0,0,0,0,0,0,0,0,0,13.8474743993812,13.2137639290258,0,0,4.73686295380005,0,0,0,0,13.8474743993812,13.2137639290258,0,0,0,0,0,0,0,13.2137639290258,4.73686295380005,0,13.8474743993812,0,0,0,0,9.23,0,0,0,0,0,0,0,0,0,10.5,0.475268148935865
"60_51_5",0.2,3.89250063709835,191.132353788762,9.61288417512236,7.19556182900582,9.72298218186119,5.57582736545682,3.14314599468797,7.3719799805787,1.75897531455106,8.28287870647432,1.07981031760535,6.75527272971245,0.389797754794983,3.10229514478793,5.69353760077805,4.79453718407182,0,11.6600333360983,0,0,25.6013198786682,7.04767198267719,0,5.31678860400633,20.8543504120623,228.999621874,1.58333333333333,2.08333333333333,2.41666666666667,0.8,0.39,12,217.167,366.68658817307,12.39,5.93790481189885,4.42410213157639,81.302446721651,10.818757558579,0.358446990862691,10.818757558579,0.246795560756487,0.0802546296296296,0.246795560756487,-2.25903549382716,-0.358446990862691,0.9829,54.8277,229.263,1,4,0,0,0,0,0,0,5,1,7,0,5,0,0,0,72,14.36428292743,0,0,11.6007173301296,0,0,4.79453718407182,0,0,0,11.3817247961132,11.8068560886386,21.2672670652323,5.75285360674679,0,13.8420315074955,34.7892982148814,0,5.31678860400633,0,0,27.020120671979,0,0,0,5.31678860400633,0,0,17.0752623968912,32.9273004013306,25.6488875961341,0,0,0,0,0,0,47.56,0,6.2462358276644,0,0,0,0,0,0,9.93705782312925,15.7889285714286,0.712117041802371
"61_82_5",0.49,3.04964832131393,109.108505534485,4.40577739393582,3.04912772937917,3.04912772937917,2.89384685011735,1.50636955218672,1.50636955218672,0.857300623242892,0.857300623242892,0.433654820398289,0.433654820398289,0.218873166547399,0.218873166547399,0,0,0,5.94833928098649,0,0,6.32732007476454,0,0,15.1813421375493,5.73366747716218,84.043596128,1.83333333333333,2.66666666666667,2.83333333333333,0,-1.06,6,80.05,33.5488750216347,3.14242914979757,0.965201510049995,0.313601333197293,34.3882037678217,5.02430555555556,0.366513216759853,5.02430555555556,0.238663626525079,0.287037037037037,0.238663626525079,0.287037037037037,-0.366513216759853,-0.6131,20.7951,84.082,3,4,0,0,0,0,1,1,3,2,4,0,0,0,0,0,32,5.73366747716218,6.32732007476454,0,5.94833928098649,0,0,5.09868180830104,4.98397852094721,0,5.09868180830104,0,0,0,0,1,0,5.94833928098649,0,15.1813421375493,0,0,5.73366747716218,6.32732007476454,0,0,5.73366747716218,5.94833928098649,0,0,15.1813421375493,0,0,0,6.32732007476454,0,0,0,67.59,0,0,0,0,0,0,0,0,0,16.1666666666667,0.440165582408477
"62_44_2",1.48,2.63597264060756,279.481149314903,9.68179827587471,7.83300443887278,7.83300443887278,6.21954535281284,4.22539741129114,4.22539741129114,2.63857631473045,2.63857631473045,1.4856891138505,1.4856891138505,1.00442409317952,1.00442409317952,0,4.79453718407182,0,5.90717972935151,6.60688196451292,11.4368981079675,6.92373719969062,0,31.1892054735371,5.31678860400633,4.73686295380005,179.094628656,1.38461538461538,2,2.46153846153846,0.3,-1.51,13,166.115,831.113511783008,9.57703220191471,4.49957134236457,3.15128754635011,77.7161010902421,10.6814322719829,0.49388743379012,10.6814322719829,0.220747436318834,0.0655926923238428,0.220747436318834,-0.0655926923238428,-0.49388743379012,2.0437,51.9147,179.219,1,3,0,0,0,1,0,1,2,1,3,0,3,0,0,0,70,10.0536515578064,5.74951183328391,0,5.90717972935151,0,0,4.79453718407182,0,0,0,0,31.1892054735371,12.6111234743742,6.60688196451292,1,9.53140013787187,11.5945660040351,0,0,0,13.8474743993812,11.9236705685192,24.2654682738464,0,5.74951183328391,10.0536515578064,5.68738627468356,5.74951183328391,0,12.5140616938644,4.79453718407182,0,13.8474743993812,24.2654682738464,0,0,0,38.33,0,0,0,0,0,0,0,0,0,31.5,0.770678866809672
"62_53_3",0.21,3.02146530972409,134.107369695415,5.11288417512236,3.96410161513775,3.96410161513775,3.39384685011735,2.19935873711777,2.19935873711777,1.41068360252296,1.41068360252296,0.799572491411848,0.799572491411848,0.453038918798848,0.453038918798848,0,0,0,0,0,5.68738627468356,0,0,30.3318353423081,0,5.73366747716218,93.057849224,1,1.57142857142857,1.85714285714286,0,-0.98,7,86.073,47.1972525729723,4.18611295681063,1.64619621593981,0.92905917971445,42.7712938165097,5.35777777777778,0.398728829486591,5.35777777777778,0.0313475925912186,0.82175925925926,0.0313475925912186,0.82175925925926,-0.398728829486591,1.2688,30.8544,93.129,2,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,36,5.73366747716218,0,0,0,0,0,0,0,0,0,18.1991012053848,12.1327341369232,5.68738627468356,0,1,0,5.68738627468356,0,0,0,0,5.73366747716218,30.3318353423081,0,0,5.73366747716218,5.68738627468356,0,0,0,0,0,0,30.3318353423081,0,0,0,26.02,0,0,0,0,0,0,0,0,0,15.6666666666667,0.48007546344556
"62_73_7",-0.3,4.10254190931309,180.531079561718,8.90577739393582,5.91348597256349,8.31977105560032,5.03782256299603,2.4491351922675,4.6656576249664,1.32526881437134,4.16867561128992,0.718104748680486,2.15431424604146,0.26499257191365,1.03402343760783,7.82269712313217,4.56504828493133,0,4.49146817415793,0,6.26208044842079,14.2195950825551,0,0,13.5712414851355,23.201879780465,219.945900694,1.36363636363636,1.81818181818182,2.09090909090909,0.5,0.27,11,213.92,200.258224216487,11.27,5.01173461848831,4.66543708556926,74.6412531555942,11.0266049382716,0.52851682587707,11.0266049382716,0.52851682587707,0.167291666666666,0.409428295061403,-3.48030092592593,-0.409428295061403,2.6804,42.4985,220.976,0,4,0,0,0,0,0,0,4,0,7,0,4,0,0,0,66,4.52374716171182,10.7535486225787,0,0,0,7.82269712313217,9.04749432342363,4.56504828493133,0,0,23.201879780465,0,14.2195950825551,0,0,18.1362897700668,31.0245769035972,0,0,0,0,14.2195950825551,10.7535486225787,0,0,0,0,0,31.0245769035972,14.2195950825551,18.1362897700668,0,0,10.7535486225787,0,0,0,44.76,0,10.3341565885613,0,0,0,0,0,0,24.1070601851852,-0.246772329302091,0.540193893510122
"63_25_2",0.95,2.46495375616377,488.451030801204,10.6733621074374,8.35794846525511,8.35794846525511,7.30886175028988,4.68373964074171,4.68373964074171,3.11680419300495,3.11680419300495,2.1564108306778,2.1564108306778,1.43558926947393,1.43558926947393,6.09324007093841,4.79453718407182,0,0,5.74951183328391,10.7724484289296,7.04767198267719,6.06636706846161,36.3982024107697,5.31678860400633,4.73686295380005,201.078978592,1.13333333333333,1.86666666666667,2.66666666666667,0.0833333333333333,-2.03,15,190.137,3599.37436831362,9.52215978200551,4.00288159397145,1.90830321656312,87.6678813931841,11.0915622637944,0.411859732898801,11.0915622637944,0.411859732898801,0.452450869236583,0.409697067607981,-0.452450869236583,-0.409697067607981,2.558,59.0317,201.225,1,3,0,0,0,2,0,2,2,1,3,0,1,0,0,0,76,10.0536515578064,5.74951183328391,0,0,0,6.09324007093841,0,4.79453718407182,0,0,36.3982024107697,11.4525912829264,12.433896197142,0,2,9.53140013787187,16.865688499868,0,5.31678860400633,0,0,7.04767198267719,42.4645694792313,0,5.74951183328391,10.0536515578064,4.79453718407182,5.74951183328391,0,13.1409120536156,0,0,0,42.4645694792313,0,10.7724484289296,0,38.33,0,0,0,0,0,0,0,0,0,35.6666666666667,0.769567030685967
"66_81_9",0.45,1.96219554115596,404.096576034875,14.8614428406363,12.0942437187724,12.0942437187724,9.36308110070411,7.40904857124262,7.40904857124262,6.53516207575487,6.53516207575487,4.5296461415533,4.5296461415533,3.60429334582768,3.60429334582768,6.1039663877483,19.4901389470562,0,48.1929657894041,18.7595492920134,6.42082162292601,0,0,6.92373719969062,12.240525803697,0,281.162708216,1.15,1.75,2.35,0.8,-1.23,20,258.168,23013.2543423672,15.1644194862057,6.03773196358303,3.44974558810356,118.665440558259,12.1764342403628,0.392368253831806,12.1764342403628,0.226338055413659,0.00492000503905299,0.226338055413659,-0.739444444444445,-0.392368253831806,1.0415,72.5565,281.352,2,5,1,1,2,0,0,0,4,2,5,0,3,1,1,2,112,5.10652739484071,5.78324494636494,0,11.814359458703,0,0,19.7004001562218,0,0,0,13.8474743993812,31.0982769611008,24.6774553381748,6.1039663877483,2,19.4901389470562,17.597604405068,0,5.31678860400633,23.6716241846456,52.0555489017596,0,0,0,0,5.31678860400633,0,0,0,28.808098187657,14.3836115522155,23.6716241846456,45.9515825140113,0,0,0,0,83.47,0,0,0,0,0,0,0,0,0,52.6666666666667,0.757155600457234
"67_68_5",0.6,2.80303948767405,29.0195500086539,3.57735026918963,2.81649658092773,3.63299316185545,1.73205080756888,0.983163247594393,2.94948974278318,0.741581623797196,2.22474487139159,0,0,0,0,10.7995690429043,4.20889849216447,0,0,0,0,0,12.5115383670228,0,0,0,78.013935812,1.5,1.5,1.5,1,0.15,4,72.088,3.24511249783653,4.15,1.46746031746032,126.372222222222,28.4784473458021,9.55555555555556,0.260157962657738,9.55555555555556,0.0148042140882218,0.611111111111111,0.0148042140882218,-0.611111111111111,-0.260157962657738,-0.00529999999999997,19.9904,78.136,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,26,0,0,0,0,0,0,4.20889849216447,0,0,0,0,0,23.3111074099271,0,0,4.20889849216447,10.7995690429043,0,0,0,0,12.5115383670228,0,0,0,0,0,0,0,16.7204368591873,10.7995690429043,0,0,0,0,0,0,17.07,0,-0.611111111111111,0,0,0,0,0,0,9.55555555555556,3.27777777777778,0.398185077463321
